in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts
12,22,12,0,2
120,86,164,4,0
104,17,76,9,2
117,1,676,3,0
0,0,5,0,0
14,1,17,0,2
238,122,557,17,58
34,54,34,0,2
344,97,945,15,
38,101,26,0,0
70,0,49,0,0
133,109,182,1,10
198,13,544,0,60
202,50,463,4,
2,4,6,0,0
173,79,175,0,168
8,18,20,0,1
26,98,4,0,0
4,0,14,0,0
56,38,"1,891",1,
387,132,"2,094",0,
274,111,"1,302",0,
191,168,206,0,
165,99,104,0,
35,0,549,0,0
231,106,439,0,
182,107,160,0,1
88,1,277,0,0
85,110,500,0,
144,99,251,0,0
21,3,10,0,0
5,0,291,0,0
195,111,310,0,0
114,74,262,0,0
5,31,1,0,0
16,63,8,0,0
130,1,390,0,0
7,29,3,0,0
108,120,73,0,0
140,72,251,0,0
1,0,29,0,0
209,30,449,0,0
16,20,4,0,0
6,21,3,0,0
90,35,5,0,0
126,108,406,0,0
6,18,1,0,0
13,87,17,0,46
73,79,123,0,0
50,0,6,0,0
121,58,212,0,0
3,17,2,0,0
5,9,1,0,0
14,22,0,0,0
72,90,141,0,0
89,39,158,0,0
115,53,286,0,0
10,6,7,1,9
2,74,14,0,2
66,96,43,0,0
3,7,10,0,0
1,0,18,0,24
65,39,41,0,0
6,11,3,0,0
2,14,2,0,0
33,57,30,0,11
12,16,14,0,0
21,0,44,0,0
39,35,22,2,0
27,77,22,2,0
108,56,30,0,0
83,58,128,7,0
0,9,2,0,0
38,64,37,3,36
120,30,52,0,1
32,3,65,0,0
2,15,1,0,0
2,2,6,0,2
39,50,57,3,1
170,12,575,18,
81,77,133,0,
13,89,34,0,3
65,7,70,16,6
49,88,62,0,
183,63,465,0,11
95,89,44,0,
252,109,965,20,
7,47,15,0,0
11,29,14,0,0
24,0,396,0,0
18,77,61,0,1
17,80,38,0,0
259,55,461,1,
7,18,7,0,0
3,18,14,0,0
382,65,497,0,12
9,10,9,0,0
125,36,150,0,
275,19,738,0,
74,0,262,14,
1,8,6,0,0
38,48,20,0,0
1,17,11,0,0
173,7,298,0,4
68,18,75,0,1
183,64,964,9,75
67,13,139,0,40
61,65,53,6,0
44,109,131,0,
240,107,268,0,5
138,133,283,0,
114,172,284,2,
85,43,134,0,
34,23,118,0,
185,61,485,0,
14,3,81,0,0
50,49,30,1,2
1,5,6,0,0
105,7,199,0,0
32,0,12,0,0
0,2,2,0,0
45,0,107,0,0
54,21,57,1,0
56,8,104,0,10
33,102,93,0,30
52,15,35,0,1
138,24,133,0,1
188,75,268,6,16
42,2,57,0,
63,40,76,0,0
47,14,90,0,1
0,1,2,0,0
77,31,85,5,28
231,52,612,6,
189,166,525,9,25
20,4,15,1,3
41,122,394,0,2
86,76,59,0,16
105,2,73,13,1
43,15,116,0,
69,3,70,0,3
180,135,223,0,5
54,28,43,0,0
83,9,100,0,4
117,39,141,0,46
239,163,583,0,
44,0,159,0,0
110,145,447,0,46
17,5,21,0,0
101,34,70,1,2
237,123,569,0,10
45,43,45,0,3
171,51,187,1,21
16,0,54,0,0
81,93,507,6,4
20,38,12,0,0
1,1,3,0,0
24,47,74,0,0
23,21,121,0,13
111,5,182,1,0
42,70,384,0,3
3,0,5,0,0
17,89,11,0,0
237,27,636,0,
13,27,8,0,0
14,14,24,0,4
13,0,32,1,0
25,46,105,0,45
24,6,105,0,0
43,19,73,12,0
205,130,625,0,25
25,3,52,0,1
195,125,"6,280",2,78
103,76,100,1,1
60,17,154,0,22
20,21,99,0,7
54,16,259,0,13
255,32,582,0,14
175,55,95,0,2
65,88,434,3,13
7,3,89,0,0
20,99,44,0,2
111,127,210,0,37
92,127,"1,219",0,62
122,11,201,0,1
4,2,50,0,0
29,0,44,0,0
39,45,250,0,0
19,0,38,0,0
146,18,478,0,7
101,12,38,0,0
30,2,5,0,6
5,0,862,0,0
167,19,318,0,1
92,122,"1,282",0,55
174,73,344,0,0
144,30,86,0,0
36,82,39,0,5
8,8,8,2,0
533,167,"3,595",6,
188,34,710,0,5
92,34,131,0,0
308,118,"4,534",2,77
265,121,"12,367",4,160
107,47,584,1,
118,116,96,0,3
22,3,0,0,0
0,4,23,0,0
114,15,63,0,2
306,99,"5,063",2,120
2,12,10,0,0
93,5,67,1,0
85,87,179,0,12
368,155,"2,854",6,121
10,56,17,0,0
143,24,110,0,70
77,134,74,0,2
209,54,710,0,18
141,12,78,0,0
78,46,"2,515",1,0
272,67,"1,066",1,19
72,0,0,0,0
17,3,3,0,0
89,21,65,0,0
24,92,93,0,0
61,23,70,1,0
30,26,15,0,0
151,102,175,5,29
141,78,"6,591",1,0
4,113,20,0,1
76,0,102,0,2
46,1,34,0,0
142,40,"5,451",1,953
119,6,85,1,1
34,3,30,0,0
34,1,31,0,0
124,27,587,0,4
235,106,"5,221",1,35
105,12,51,0,12
13,0,113,1,3
33,123,7,0,4
22,13,65,0,6
24,85,102,0,1
45,1,80,0,12
7,21,2,0,0
11,0,10,0,0
19,5,12,0,0
128,17,"1,663",0,0
78,15,"1,674",0,3
57,13,50,1,7
44,63,91,0,24
284,114,"1,481",0,5
83,63,"4,180",0,0
65,45,398,0,1
5,1,62,0,0
21,20,40,0,0
47,3,42,12,6
10,0,39,0,0
42,7,15,0,4
25,0,14,0,0
20,3,24,0,0
28,73,64,0,0
43,36,46,13,4
3,0,28,0,1
363,129,"3,895",0,28
47,116,266,0,0
8,106,6,0,8
35,104,93,1,0
8,67,66,0,0
42,1,26,0,0
21,86,138,0,2
8,0,29,0,0
453,50,"1,785",1,8
13,7,55,0,1
246,71,519,2,5
52,42,100,0,0
45,27,"1,197",0,43
69,2,51,11,0
185,40,492,9,35
46,16,53,1,2
123,113,180,1,4
29,40,31,1,1
12,4,0,0,0
26,1,58,0,0
45,0,99,1,1
18,82,0,0,5
7,11,13,0,0
29,2,35,1,0
42,0,24,0,0
16,41,13,1,1
10,21,7,0,9
27,84,32,7,11
0,0,14,0,0
26,1,19,0,0
16,5,43,0,7
13,1,15,0,1
321,162,"5,691",8,17
11,10,267,0,7
233,82,531,1,1
315,160,"6,284",1,46
10,0,70,0,0
2,0,12,0,10
36,2,11,0,14
336,188,"2,692",3,30
315,159,"2,179",0,44
9,66,10,0,0
217,136,"6,508",1,
15,48,50,0,3
163,32,137,15,12
32,0,19,0,0
68,24,43,1,0
55,3,32,0,0
75,11,44,0,14
21,0,31,0,0
79,80,250,3,10
28,124,13,0,1
49,17,30,0,0
11,0,7,0,0
155,5,577,0,6
24,0,52,0,0
52,25,32,0,10
26,3,39,0,0
14,0,11,0,0
31,9,15,0,1
12,2,4,0,0
11,6,12,0,15
5,0,4,0,1
20,4,52,0,1
32,0,49,0,0
124,24,254,0,8
46,8,60,0,0
27,2,31,0,0
6,188,20,0,0
229,57,"1,370",2,71
10,2,13,0,1
85,24,200,0,2
203,1,"8,215",0,0
32,6,46,0,1
34,39,30,0,0
16,14,7,0,0
228,105,"2,453",0,84
289,87,"2,430",0,36
52,16,65,0,206
242,49,272,21,24
38,13,32,0,0
27,44,24,0,5
7,30,13,1,1
4,5,12,0,51
4,0,22,0,0
7,21,11,0,0
20,10,33,0,0
42,28,43,0,0
9,11,22,1,0
22,0,23,0,0
8,25,18,1,0
3,7,13,0,1
8,30,13,1,1
10,24,11,0,0
4,1,6,0,0
9,0,8,0,0
5,28,9,0,0
10,30,13,0,33
1,0,5,0,0
4,15,10,0,0
7,0,7,0,0
8,12,9,0,0
48,4,34,1,0
7,25,12,0,0
9,7,14,0,1
162,116,355,7,0
35,0,3,0,0
6,20,8,0,0
10,2,150,0,0
1,0,3,0,0
16,81,23,0,0
48,40,87,1,210
0,0,0,0,0
93,12,173,11,3
10,4,4,0,0
52,9,46,0,1
2,0,10,0,0
1,0,4,0,0
28,42,23,0,0
2,0,4,0,0
16,11,18,0,0
19,0,7,0,0
0,0,3,0,0
10,22,3,0,0
3,0,2,0,0
23,16,9,0,5
135,74,119,1,18
15,3,3,0,0
26,1,17,0,0
5,29,14,0,0
31,0,19,0,2
18,75,9,0,0
23,1,15,0,0
42,51,32,0,0
4,35,11,1,1
137,5,582,0,0
29,0,30,0,0
5,0,5,0,0
26,2,15,0,2
11,6,25,0,1
42,9,24,1,1
32,110,26,0,0
5,132,17,0,3
80,11,66,0,1
29,10,79,0,0
5,40,12,0,0
21,11,40,0,0
79,13,93,0,17
34,0,29,0,0
73,45,119,0,0
0,18,6,0,0
20,3,39,0,0
36,1,31,0,1
23,1,44,1,0
43,28,79,0,208
54,76,900,0,0
26,16,17,0,1
13,2,31,0,0
7,1,15,0,0
51,14,19,0,0
109,38,301,1,33
8,1,18,0,0
18,1,28,0,0
19,0,15,0,0
90,22,365,0,114
63,8,270,2,105
15,1,23,0,0
107,76,86,1,9
0,0,2,0,0
33,60,107,1,0
139,73,142,0,5
38,79,65,0,1
12,1,8,0,1
26,2,30,0,0
4,106,0,0,7
16,5,0,0,6
5,36,1,0,0
112,198,406,1,0
222,61,259,14,2
37,2,38,2,0
66,89,61,0,11
45,2,26,0,1
26,18,15,1,4
19,21,14,0,2
18,124,24,1,0
6,52,11,0,0
228,151,"6,720",3,99
156,275,150,3,128
3,0,63,0,353
38,105,25,0,2
11,0,2,0,0
28,0,54,0,0
49,3,57,0,0
25,0,22,0,0
129,55,128,0,101
17,0,24,0,30
16,15,20,0,0
53,2,33,0,0
51,1,50,0,0
17,12,15,0,0
23,10,18,0,0
13,18,12,0,0
39,47,36,0,0
38,266,78,0,141
14,141,9,0,1
17,10,16,0,4
28,67,195,0,0
10,43,3,1,0
63,39,"1,315",0,2
